"File Path","Function Name","Number of Distinct Features","Number of Opts","Number of Choices","Inputs","Analyzable"
"busybox-1.18.5/applets/applets.c","main","0","0","0","int , char **","false"
"busybox-1.18.5/archival/ar.c","filter_replaceable","0","0","0","archive_handle_t *","false"
"busybox-1.18.5/archival/ar.c","output_ar_header","2","2","0","archive_handle_t *","true"
"busybox-1.18.5/archival/ar.c","copy_data","0","0","0","archive_handle_t *","false"
"busybox-1.18.5/archival/ar.c","write_ar_header","0","0","0","archive_handle_t *","false"
"busybox-1.18.5/archival/ar.c","write_ar_archive","2","0","1","archive_handle_t *","true"
"busybox-1.18.5/archival/ar.c","header_verbose_list_ar","1","2","0","const file_header_t *","true"
"busybox-1.18.5/archival/ar.c","ar_main","1","4","0","int , char **","true"
"busybox-1.18.5/archival/bbunzip.c","open_to_or_warn","0","0","0","int , const char *, int , int ","false"
"busybox-1.18.5/archival/bbunzip.c","append_ext","0","0","0","char *, const char *","false"
"busybox-1.18.5/archival/bbunzip.c","bbunpack","1","4","0","char **, long long int , char *, const char *","true"
"busybox-1.18.5/archival/bbunzip.c","make_new_name_generic","0","0","0","char *, const char *","false"
"busybox-1.18.5/archival/bbunzip.c","unpack_uncompress","2","4","0","unpack_info_t *","true"
"busybox-1.18.5/archival/bbunzip.c","uncompress_main","0","0","0","int , char **","false"
"busybox-1.18.5/archival/bbunzip.c","make_new_name_gunzip","2","1","0","char *, const char *","true"
"busybox-1.18.5/archival/bbunzip.c","unpack_gunzip","3","4","1","unpack_info_t *","true"
"busybox-1.18.5/archival/bbunzip.c","gunzip_main","0","0","0","int , char **","false"
"busybox-1.18.5/archival/bbunzip.c","unpack_bunzip2","2","2","0","unpack_info_t *","true"
"busybox-1.18.5/archival/bbunzip.c","bunzip2_main","0","0","0","int , char **","false"
"busybox-1.18.5/archival/bbunzip.c","unpack_unlzma","2","2","0","unpack_info_t *","true"
"busybox-1.18.5/archival/bbunzip.c","unlzma_main","2","3","0","int , char **","true"
"busybox-1.18.5/archival/bbunzip.c","unpack_unxz","2","2","0","unpack_info_t *","true"
"busybox-1.18.5/archival/bbunzip.c","unxz_main","2","3","0","int , char **","true"
"busybox-1.18.5/archival/bzip2.c","bz_write","1","3","0","bz_stream *, void *, ssize_t , void *","true"
"busybox-1.18.5/archival/bzip2.c","compressStream","1","4","0","unpack_info_t *","true"
"busybox-1.18.5/archival/bzip2.c","bzip2_main","1","4","0","int , char **","true"
"busybox-1.18.5/archival/cpio.c","cpio_pad4","0","0","0","off_t ","false"
"busybox-1.18.5/archival/cpio.c","cpio_o","0","0","0","void","false"
"busybox-1.18.5/archival/cpio.c","cpio_main","5","29","0","int , char **","true"
"busybox-1.18.5/archival/dpkg.c","make_hash","0","0","0","const char *, unsigned *, unsigned *, const int ","false"
"busybox-1.18.5/archival/dpkg.c","search_name_hashtable","0","0","0","const char *","false"
"busybox-1.18.5/archival/dpkg.c","search_status_hashtable","0","0","0","const char *","false"
"busybox-1.18.5/archival/dpkg.c","order","0","0","0","char ","false"
"busybox-1.18.5/archival/dpkg.c","version_compare_part","0","0","0","const char *, const char *","false"
"busybox-1.18.5/archival/dpkg.c","version_compare","0","0","0","const unsigned , const unsigned ","false"
"busybox-1.18.5/archival/dpkg.c","test_version","0","0","0","const unsigned , const unsigned , const unsigned ","false"
"busybox-1.18.5/archival/dpkg.c","search_package_hashtable","0","0","0","const unsigned , const unsigned , const unsigned ","false"
"busybox-1.18.5/archival/dpkg.c","search_for_provides","0","0","0","int , int ","false"
"busybox-1.18.5/archival/dpkg.c","add_edge_to_node","0","0","0","common_node_t *, edge_t *","false"
"busybox-1.18.5/archival/dpkg.c","add_split_dependencies","0","0","0","common_node_t *, const char *, unsigned ","false"
"busybox-1.18.5/archival/dpkg.c","free_package","0","0","0","common_node_t *","false"
"busybox-1.18.5/archival/dpkg.c","read_package_field","0","0","0","const char *, char **, char **","false"
"busybox-1.18.5/archival/dpkg.c","fill_package_struct","0","0","0","char *","false"
"busybox-1.18.5/archival/dpkg.c","get_status","0","0","0","const unsigned , const int ","false"
"busybox-1.18.5/archival/dpkg.c","set_status","0","0","0","const unsigned , const char *, const int ","false"
"busybox-1.18.5/archival/dpkg.c","describe_status","0","0","0","int ","false"
